-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 12/31/2021 
Location: Latitude  12.967   Longitude 77.586 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
2000,1,1,18.98,11.4,15.19,20.19,14.44,27.25,12.82,9.28,67.62,0.0,91.82,4.3,5.34,2.95,2.38,92.5
2000,1,2,18.82,10.44,14.62,20.05,15.75,27.62,11.87,8.73,65.62,0.0,91.83,4.07,5.41,3.05,2.37,81.38
2000,1,3,19.66,10.69,15.18,20.94,14.95,28.5,13.55,8.91,64.38,0.0,91.74,3.59,4.91,2.59,2.31,82.81
2000,1,4,20.43,11.73,16.08,21.69,15.14,28.96,13.82,9.46,64.19,0.0,91.72,3.33,5.52,1.77,3.75,77.38
2000,1,5,20.74,12.82,16.78,21.94,14.24,28.88,14.64,10.19,66.62,0.01,91.73,3.49,4.6,2.66,1.94,84.94
2000,1,6,21.67,14.78,18.23,22.94,13.62,29.32,15.69,11.47,69.31,0.13,91.72,3.87,4.91,2.46,2.45,79.94
2000,1,7,21.11,13.48,17.29,22.38,14.3,29.24,14.95,10.56,67.12,0.01,91.76,4.58,6.51,3.06,3.45,72.31
2000,1,8,20.88,13.41,17.15,22.14,14.69,29.23,14.54,10.56,67.75,0.0,91.75,4.72,6.06,3.34,2.72,81.12
2000,1,9,21.37,14.44,17.9,22.69,15.54,29.87,14.33,11.29,69.44,0.07,91.76,4.55,6.0,3.23,2.77,88.88
2000,1,10,21.94,15.64,18.8,23.11,12.13,28.95,16.82,12.27,72.06,0.3,91.72,4.55,6.61,3.14,3.46,99.94
2000,1,11,22.3,16.15,19.23,23.58,11.62,29.41,17.79,12.57,71.94,0.07,91.71,4.44,5.67,2.12,3.55,96.5
2000,1,12,22.58,15.21,18.89,24.05,13.56,30.43,16.87,11.84,67.62,0.03,91.72,3.82,4.77,2.84,1.94,116.62
2000,1,13,23.1,14.58,18.84,24.67,14.18,31.54,17.36,11.47,65.06,0.03,91.72,3.07,5.01,1.42,3.58,107.44
2000,1,14,23.19,13.42,18.3,24.67,14.89,31.84,16.95,10.68,61.31,0.0,91.64,2.79,4.11,1.5,2.61,123.75
2000,1,15,22.69,13.73,18.21,23.88,13.97,30.33,16.36,10.74,60.12,0.0,91.72,2.53,3.59,1.51,2.08,138.5
2000,1,16,22.23,11.55,16.9,23.37,14.94,31.02,16.08,9.52,58.62,0.0,91.78,4.34,6.85,2.16,4.7,111.25
2000,1,17,20.85,8.28,14.57,21.64,17.29,30.16,12.87,7.63,53.31,0.0,91.95,4.53,7.05,2.59,4.45,92.06
2000,1,18,20.57,8.33,14.45,21.36,18.27,30.39,12.12,7.63,54.19,0.0,92.04,4.47,7.13,2.77,4.36,81.56
2000,1,19,21.33,9.73,15.53,21.84,17.85,31.23,13.37,8.24,52.94,0.0,91.97,3.88,6.59,2.06,4.53,64.69
2000,1,20,21.48,8.73,15.1,22.3,18.51,32.23,13.73,8.0,54.56,0.0,91.82,3.04,4.59,1.09,3.49,90.81
2000,1,21,21.61,8.32,14.97,22.75,20.52,32.86,12.34,7.69,53.19,0.0,91.84,3.09,4.54,1.1,3.44,110.75
2000,1,22,21.51,7.33,14.41,22.41,20.07,32.85,12.78,7.45,53.06,0.0,91.88,3.2,4.25,1.76,2.49,107.81
2000,1,23,21.69,7.91,14.8,22.94,19.54,32.26,12.73,7.45,50.19,0.0,91.83,2.19,3.03,1.16,1.87,120.44
2000,1,24,21.51,8.66,15.09,22.99,18.57,31.38,12.81,7.69,49.5,0.0,91.88,3.38,5.47,2.29,3.18,132.62
2000,1,25,21.73,10.61,16.17,23.28,15.37,30.78,15.41,8.97,58.12,0.0,91.98,4.07,5.57,2.87,2.71,95.69
2000,1,26,21.1,9.92,15.51,22.73,14.2,29.59,15.39,8.61,57.88,0.0,92.0,4.27,5.79,2.62,3.16,87.69
2000,1,27,20.86,9.57,15.21,22.44,15.25,29.8,14.54,8.36,57.25,0.0,91.95,4.9,5.87,3.3,2.57,94.0
2000,1,28,21.69,8.9,15.29,23.4,16.7,31.19,14.5,8.06,53.94,0.0,91.94,4.46,6.09,3.2,2.89,89.94
2000,1,29,22.08,9.0,15.54,23.74,18.38,31.74,13.37,7.87,50.31,0.0,91.99,3.76,5.68,2.64,3.04,86.75
2000,1,30,21.89,7.26,14.58,23.2,18.64,31.86,13.22,7.26,49.44,0.0,92.06,4.08,5.61,2.27,3.34,86.94
2000,1,31,21.34,5.87,13.61,22.95,19.09,32.02,12.94,6.84,49.5,0.0,92.02,3.62,4.63,1.74,2.9,102.5
2000,2,1,21.15,5.0,13.08,23.17,19.28,32.36,13.08,6.53,48.81,0.0,91.87,3.26,4.69,2.48,2.2,110.0
2000,2,2,21.71,7.19,14.44,23.98,19.59,32.6,13.02,7.32,51.69,0.0,91.84,2.96,5.38,1.71,3.68,121.56
2000,2,3,23.6,11.77,17.69,25.63,16.9,33.08,16.19,9.89,58.62,0.02,91.96,4.07,6.12,2.45,3.67,113.81
2000,2,4,24.47,14.3,19.38,26.64,15.72,33.11,17.39,11.35,61.0,0.36,91.86,4.48,5.87,2.82,3.05,131.75
2000,2,5,26.08,14.81,20.44,28.83,15.17,34.06,18.89,11.72,56.81,0.01,91.7,2.14,4.18,0.98,3.2,186.62
2000,2,6,25.46,14.23,19.85,28.08,13.28,32.75,19.48,11.29,54.69,0.32,91.68,2.09,4.1,0.42,3.68,204.25
2000,2,7,25.83,13.45,19.64,28.72,14.07,33.12,19.05,10.68,51.31,0.1,91.64,1.18,2.12,0.12,2.01,150.81
2000,2,8,25.99,14.43,20.21,28.55,13.38,33.03,19.65,11.41,53.44,0.16,91.58,2.76,3.8,1.27,2.54,181.31
2000,2,9,25.53,14.16,19.85,28.67,14.2,32.93,18.73,11.11,52.94,0.09,91.68,2.62,5.01,0.67,4.34,181.38
2000,2,10,25.81,14.17,19.99,28.75,14.07,33.1,19.02,11.11,52.62,0.0,91.71,3.45,5.88,1.46,4.42,152.31
2000,2,11,25.65,14.55,20.1,28.41,13.45,32.43,18.98,11.35,53.69,0.0,91.7,2.37,5.1,0.62,4.48,162.5
2000,2,12,25.92,14.32,20.12,28.69,12.37,32.51,20.14,11.17,51.81,0.0,91.65,2.66,5.39,1.54,3.85,144.75
2000,2,13,24.8,13.36,19.08,27.23,13.41,32.14,18.73,10.56,53.06,0.0,91.61,4.7,6.23,3.12,3.12,140.44
2000,2,14,23.81,9.74,16.77,26.0,17.55,33.23,15.68,8.42,48.75,0.0,91.67,4.92,6.49,2.73,3.76,114.25
2000,2,15,23.55,7.71,15.63,25.58,16.35,32.79,16.44,7.75,47.44,0.0,91.76,5.45,6.44,4.28,2.16,96.0
2000,2,16,23.78,9.96,16.87,26.09,17.82,33.21,15.39,8.61,50.69,0.0,91.8,4.45,5.38,3.11,2.27,88.94
2000,2,17,24.92,10.74,17.83,28.0,18.26,34.42,16.17,9.03,49.44,0.0,91.61,2.38,5.39,0.64,4.75,81.5
2000,2,18,25.44,9.18,17.3,27.83,17.12,33.97,16.86,8.06,41.0,0.0,91.57,2.6,5.5,0.95,4.55,188.69
2000,2,19,25.67,6.25,15.96,27.8,16.42,34.45,18.02,6.53,32.19,0.0,91.53,1.89,2.55,1.35,1.2,231.25
2000,2,20,25.28,8.65,16.96,27.44,16.48,34.02,17.54,7.81,40.19,0.01,91.49,2.05,3.06,1.12,1.95,210.0
2000,2,21,25.57,11.82,18.69,28.13,15.48,33.23,17.75,9.58,45.94,0.03,91.53,2.98,6.39,1.4,4.98,179.75
2000,2,22,25.15,15.01,20.08,27.65,11.37,30.92,19.55,11.72,56.81,0.02,91.61,3.67,6.15,1.85,4.3,132.06
2000,2,23,24.86,16.48,20.67,27.3,12.05,31.95,19.9,12.88,63.94,1.67,91.64,4.38,5.65,2.97,2.68,111.38
2000,2,24,24.81,18.23,21.52,27.27,11.69,31.89,20.2,14.4,70.81,5.19,91.69,3.24,5.16,1.41,3.74,113.0
2000,2,25,23.55,18.95,21.25,24.8,7.51,27.96,20.45,15.01,77.12,17.29,91.64,3.12,6.14,1.05,5.1,153.0
2000,2,26,22.22,19.6,20.9,22.67,4.88,25.23,20.37,15.62,85.75,19.28,91.48,2.56,5.33,0.7,4.62,93.88
2000,2,27,21.62,18.67,20.15,22.0,5.62,25.07,19.46,14.77,84.19,6.69,91.58,4.91,7.05,2.57,4.48,82.38
2000,2,28,23.34,17.84,20.59,24.85,12.35,30.69,18.33,13.98,74.5,0.73,91.78,5.48,6.87,3.34,3.53,86.44
2000,2,29,23.15,15.3,19.23,24.79,14.01,31.06,17.05,11.9,66.0,0.04,91.83,4.93,6.43,3.57,2.86,82.25
2000,3,1,22.18,6.34,14.26,23.27,16.91,31.79,14.88,7.02,46.19,0.0,91.8,4.51,6.52,2.56,3.95,81.06
2000,3,2,21.64,5.02,13.33,22.43,19.55,32.28,12.73,6.1,39.69,0.0,91.78,3.12,3.67,2.18,1.5,89.31
2000,3,3,22.53,4.37,13.44,23.05,19.07,33.43,14.36,5.92,39.19,0.0,91.79,3.69,5.83,1.12,4.71,99.56
2000,3,4,23.02,5.35,14.19,23.69,18.04,33.16,15.12,6.23,37.62,0.0,91.77,3.79,5.17,2.09,3.09,113.31
2000,3,5,22.84,4.55,13.69,23.87,19.24,33.2,13.95,5.92,37.12,0.0,91.69,4.18,5.62,2.86,2.77,99.31
2000,3,6,22.23,4.57,13.4,23.69,19.8,33.01,13.2,6.04,40.44,0.0,91.64,2.84,4.18,2.12,2.06,109.81
