-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 12/31/2021 
Location: Latitude  18.916   Longitude 72.979 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
2000,1,1,23.31,12.22,17.76,23.31,16.13,32.23,16.11,9.03,52.94,0.0,100.0,3.21,5.71,0.38,5.32,140.44
2000,1,2,23.13,10.9,17.01,23.26,15.62,32.05,16.43,8.3,49.56,0.0,100.09,3.78,7.09,0.14,6.94,145.25
2000,1,3,22.48,9.09,15.78,22.72,16.93,32.2,15.26,7.45,47.19,0.0,100.02,3.62,6.87,0.55,6.32,163.06
2000,1,4,22.51,8.78,15.65,22.62,17.23,32.46,15.23,7.26,46.69,0.0,99.98,3.55,6.81,0.75,6.07,164.56
2000,1,5,22.14,8.08,15.11,21.83,16.46,31.99,15.53,6.9,45.44,0.0,100.0,3.35,6.91,0.62,6.28,155.19
2000,1,6,22.15,6.37,14.26,22.17,17.66,32.44,14.79,6.16,40.12,0.0,100.07,4.07,6.9,1.25,5.65,140.62
2000,1,7,22.1,5.23,13.66,21.96,17.88,32.24,14.37,5.8,37.75,0.0,100.06,4.38,7.78,0.53,7.25,135.81
2000,1,8,22.24,5.65,13.94,22.21,19.06,33.22,14.15,6.04,39.44,0.0,100.0,3.63,6.98,0.58,6.41,141.25
2000,1,9,23.18,8.08,15.63,22.81,19.25,34.1,14.85,7.02,42.56,0.0,99.94,3.45,6.54,1.0,5.55,150.5
2000,1,10,23.51,9.27,16.39,23.57,17.99,33.75,15.75,7.63,46.31,0.0,99.9,2.8,4.68,1.05,3.62,155.38
2000,1,11,23.9,12.52,18.21,24.4,17.13,33.83,16.7,9.28,54.06,0.0,99.88,2.88,4.35,1.07,3.28,176.81
2000,1,12,22.94,16.45,19.7,23.91,12.38,30.66,18.28,11.78,70.12,0.0,99.99,3.07,5.59,2.08,3.5,175.25
2000,1,13,22.23,14.79,18.51,23.22,15.34,30.93,15.58,10.56,68.0,0.0,100.05,3.31,4.85,2.08,2.77,153.19
2000,1,14,21.6,10.59,16.1,22.33,15.15,30.47,15.32,8.06,54.44,0.0,99.95,3.33,4.51,2.77,1.74,191.88
2000,1,15,20.15,4.59,12.37,20.73,15.23,29.09,13.87,5.49,41.12,0.0,100.05,3.4,4.54,2.71,1.83,162.5
2000,1,16,20.76,7.06,13.91,21.75,18.34,30.65,12.3,6.65,45.06,0.0,100.07,2.91,3.72,0.74,2.98,152.31
2000,1,17,25.19,14.35,19.77,25.57,17.78,35.55,17.77,10.31,55.31,0.0,100.07,3.09,5.1,1.77,3.34,148.44
2000,1,18,26.43,13.62,20.02,26.84,15.99,36.23,20.24,9.83,49.62,0.0,100.23,3.73,7.35,0.85,6.5,159.81
2000,1,19,26.37,13.34,19.85,26.52,15.15,35.52,20.37,9.58,47.81,0.0,100.24,3.66,5.8,2.37,3.44,166.06
2000,1,20,24.39,10.19,17.3,24.35,15.66,33.53,17.87,7.87,44.56,0.0,100.09,3.24,5.09,2.23,2.86,199.88
2000,1,21,22.92,12.98,17.95,23.11,13.54,30.76,17.23,9.46,55.56,0.0,100.15,2.41,3.72,1.57,2.15,190.62
2000,1,22,22.3,13.55,17.92,23.0,14.98,30.82,15.83,9.7,60.81,0.0,100.22,3.2,5.56,1.83,3.73,195.38
2000,1,23,22.98,13.46,18.23,23.8,15.09,31.48,16.38,9.7,59.5,0.0,100.19,3.36,5.13,1.91,3.22,166.06
2000,1,24,23.98,11.87,17.93,24.94,17.22,33.74,16.52,8.85,53.38,0.0,100.19,3.2,4.07,1.44,2.63,153.56
2000,1,25,24.27,8.65,16.47,24.9,19.08,35.22,16.14,7.26,43.75,0.0,100.18,3.17,5.3,0.65,4.66,156.25
2000,1,26,24.2,10.06,17.13,25.17,17.03,34.11,17.08,7.87,46.19,0.0,100.23,2.98,4.2,0.68,3.52,148.5
2000,1,27,24.25,9.48,16.86,25.4,18.09,34.42,16.32,7.51,44.06,0.0,100.16,3.15,4.55,0.64,3.91,159.31
2000,1,28,25.44,8.96,17.2,26.37,18.18,35.58,17.4,7.32,38.19,0.0,100.15,3.48,6.73,0.73,5.99,124.0
2000,1,29,25.4,8.25,16.83,26.73,17.47,35.26,17.79,6.9,36.38,0.0,100.3,3.98,6.45,0.2,6.25,158.31
2000,1,30,25.35,6.01,15.68,26.42,18.23,35.83,17.6,5.98,33.06,0.0,100.33,3.48,5.84,0.66,5.19,180.94
2000,1,31,24.45,7.31,15.88,25.42,17.09,34.12,17.04,6.9,39.5,0.0,100.3,2.91,4.5,0.69,3.81,181.25
2000,2,1,22.66,16.37,19.51,24.45,13.23,30.28,17.06,11.72,72.5,0.0,100.13,2.5,4.38,0.66,3.72,213.69
2000,2,2,22.9,16.65,19.78,24.93,11.48,30.08,18.6,11.9,72.19,0.0,100.17,2.2,4.56,0.85,3.71,211.75
2000,2,3,22.94,15.89,19.41,24.79,11.99,30.12,18.12,11.29,68.44,0.0,100.37,2.82,4.62,1.13,3.49,303.44
2000,2,4,22.13,14.21,18.17,24.07,15.09,30.64,15.55,10.19,66.5,0.0,100.2,2.85,4.55,2.05,2.49,192.06
2000,2,5,22.23,16.33,19.28,24.23,10.36,28.55,18.19,11.66,73.25,0.0,100.09,3.19,5.37,1.69,3.68,315.38
2000,2,6,21.68,15.01,18.35,23.71,13.72,28.99,15.27,10.74,70.5,0.0,100.08,2.43,4.36,1.22,3.14,229.81
2000,2,7,22.74,11.44,17.09,24.76,15.2,31.5,16.3,8.79,57.12,0.0,100.02,2.66,4.7,1.17,3.53,198.62
2000,2,8,21.8,7.82,14.81,23.26,15.4,30.17,14.78,6.71,44.69,0.0,99.99,3.16,4.55,2.36,2.2,185.62
2000,2,9,22.95,5.97,14.46,24.38,19.28,33.52,14.23,6.04,39.56,0.0,100.01,3.29,4.96,1.32,3.65,147.44
2000,2,10,22.7,11.3,17.0,24.31,15.8,31.65,15.84,8.48,53.38,0.0,100.05,2.99,5.09,1.59,3.49,189.25
2000,2,11,22.44,13.94,18.19,24.16,12.65,30.12,17.47,10.07,64.44,0.0,100.06,3.35,5.4,1.87,3.54,320.81
2000,2,12,21.83,12.79,17.31,24.24,13.77,29.55,15.78,9.34,61.5,0.0,100.03,2.89,4.25,1.45,2.8,206.81
2000,2,13,21.94,3.06,12.5,23.76,18.48,31.9,13.42,5.0,34.0,0.0,99.95,3.35,4.7,1.87,2.83,158.62
2000,2,14,24.79,7.88,16.33,26.48,18.34,34.77,16.43,7.14,35.56,0.0,99.88,3.71,5.93,2.46,3.47,163.56
2000,2,15,27.33,13.73,20.53,29.01,16.68,36.88,20.2,9.89,45.56,0.0,99.92,3.45,5.21,2.2,3.01,158.44
2000,2,16,26.88,9.5,18.19,28.31,14.81,35.48,20.66,7.45,35.5,0.0,100.03,3.65,6.56,2.6,3.96,204.31
2000,2,17,24.15,2.89,13.52,25.44,16.44,33.42,16.99,4.82,29.12,0.0,99.94,4.09,5.55,2.94,2.62,176.06
2000,2,18,23.64,0.67,12.15,25.09,19.62,34.49,14.87,4.27,27.38,0.0,99.87,3.57,5.03,2.51,2.52,156.62
2000,2,19,23.01,6.73,14.87,24.8,17.33,32.63,15.3,6.53,41.81,0.0,99.83,2.85,5.11,0.95,4.16,189.81
