-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 12/31/2021 
Location: Latitude  22.564   Longitude 88.368 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
2000,1,1,16.03,8.38,12.2,15.29,14.65,24.26,9.62,6.77,63.44,0.0,101.46,3.05,4.54,1.93,2.61,210.44
2000,1,2,15.86,7.96,11.9,14.73,15.98,24.2,8.23,6.65,61.5,0.0,101.41,2.95,4.09,2.05,2.04,340.94
2000,1,3,15.3,7.44,11.37,14.51,15.98,23.92,7.94,6.41,62.12,0.0,101.3,3.15,3.91,2.54,1.37,338.06
2000,1,4,15.37,6.53,10.94,14.16,16.75,24.12,7.37,5.98,58.31,0.0,101.33,3.14,4.28,2.46,1.82,339.81
2000,1,5,14.84,6.35,10.6,14.02,16.66,23.67,7.01,5.92,59.75,0.0,101.37,3.05,3.66,2.43,1.23,338.69
2000,1,6,14.44,6.16,10.3,13.69,16.07,23.2,7.13,5.86,60.69,0.0,101.29,3.4,4.64,2.64,2.0,331.5
2000,1,7,14.62,5.99,10.3,13.62,17.25,23.55,6.3,5.8,59.5,0.0,101.37,3.13,4.28,2.08,2.21,330.12
2000,1,8,15.14,5.58,10.37,13.73,16.39,23.44,7.05,5.62,55.81,0.0,101.34,2.64,4.04,0.95,3.09,280.0
2000,1,9,16.68,6.66,11.67,14.54,14.65,24.08,9.43,6.1,53.38,0.0,101.3,1.89,3.34,0.09,3.26,228.75
2000,1,10,17.41,9.39,13.4,15.62,16.36,25.35,8.99,7.32,61.62,0.0,101.24,2.05,2.91,0.9,2.02,218.5
2000,1,11,18.12,9.99,14.05,16.23,14.96,25.28,10.31,7.63,60.75,0.0,101.26,2.02,3.13,1.02,2.11,280.88
2000,1,12,18.56,11.01,14.79,17.15,16.37,26.48,10.1,8.18,63.62,0.0,101.22,1.84,2.73,1.13,1.59,306.5
2000,1,13,19.41,12.78,16.09,18.37,15.49,27.27,11.79,9.16,68.56,0.0,101.1,1.72,3.23,0.56,2.66,280.5
2000,1,14,19.65,15.34,17.49,19.34,14.45,27.87,13.43,10.86,76.5,0.0,100.94,3.22,5.18,2.41,2.77,279.0
2000,1,15,20.87,12.29,16.58,19.74,15.56,28.66,13.1,8.85,60.94,0.12,101.12,1.47,2.4,0.39,2.01,254.75
2000,1,16,20.67,14.42,17.55,20.4,12.4,27.9,15.5,10.19,69.25,0.51,101.31,2.37,4.09,0.55,3.55,205.88
2000,1,17,17.08,9.21,13.14,17.37,15.12,25.78,10.66,7.2,64.56,0.0,101.52,3.72,5.19,2.95,2.24,299.94
2000,1,18,14.52,5.17,9.85,14.48,15.97,23.3,7.33,5.49,58.44,0.0,101.56,3.62,5.2,2.65,2.55,303.94
2000,1,19,15.05,5.71,10.38,14.55,17.16,23.82,6.65,5.68,57.75,0.0,101.25,3.0,4.71,1.48,3.23,312.44
2000,1,20,17.52,8.7,13.11,16.38,18.19,26.62,8.43,7.02,61.19,0.0,100.99,2.82,4.48,0.55,3.94,244.69
2000,1,21,19.87,15.37,17.62,19.44,13.06,27.5,14.44,10.86,76.69,0.02,101.23,2.35,3.35,1.03,2.32,215.81
2000,1,22,19.83,11.33,15.58,19.55,17.02,28.83,11.81,8.42,62.94,0.05,101.25,2.32,3.38,0.56,2.81,164.25
2000,1,23,21.01,16.94,18.98,21.0,11.27,27.7,16.44,12.02,78.31,2.15,101.18,2.84,4.02,2.07,1.95,268.94
2000,1,24,19.36,12.27,15.82,19.54,14.55,27.51,12.97,8.79,66.94,0.0,101.46,2.94,3.66,2.2,1.46,283.94
2000,1,25,18.33,11.15,14.74,18.5,14.97,26.51,11.54,8.18,66.69,0.0,101.67,3.15,4.33,1.92,2.41,173.56
2000,1,26,18.04,9.56,13.8,17.98,15.48,26.58,11.09,7.32,61.25,0.0,101.64,3.23,3.73,2.65,1.08,164.44
2000,1,27,18.83,9.09,13.96,17.97,16.13,27.03,10.89,7.14,56.0,0.0,101.51,2.21,3.17,0.93,2.23,266.69
2000,1,28,19.56,10.23,14.9,19.05,17.38,28.29,10.91,7.75,59.06,0.05,101.4,2.46,3.34,1.2,2.14,251.25
2000,1,29,18.79,11.49,15.14,19.01,12.85,26.48,13.63,8.42,67.0,0.36,101.39,3.8,5.46,2.64,2.82,302.44
2000,1,30,17.57,6.91,12.24,17.08,15.65,25.56,9.91,6.16,52.75,0.0,101.62,2.82,3.8,1.64,2.16,308.38
2000,1,31,18.73,7.07,12.9,17.75,15.09,26.47,11.37,6.23,49.06,0.0,101.66,1.63,2.27,0.69,1.58,146.5
2000,2,1,19.44,9.94,14.69,19.29,15.45,28.0,12.55,7.69,57.44,0.0,101.4,2.58,3.99,1.33,2.66,136.12
2000,2,2,21.16,16.0,18.58,21.36,12.95,28.4,15.45,11.23,75.69,4.26,101.3,4.02,5.99,2.95,3.05,191.44
2000,2,3,22.05,17.06,19.56,22.13,11.38,28.51,17.14,12.02,75.62,4.78,101.44,2.31,3.67,0.37,3.3,233.06
2000,2,4,21.94,16.28,19.12,21.98,12.77,28.88,16.12,11.47,72.88,1.23,101.29,1.74,3.79,0.27,3.52,153.19
2000,2,5,22.16,17.85,20.01,22.51,12.51,29.3,16.79,12.76,78.88,4.19,101.1,2.92,4.41,1.31,3.09,155.88
2000,2,6,22.38,18.8,20.58,23.02,9.7,28.27,18.57,13.49,81.69,4.51,101.04,3.45,4.7,2.12,2.58,161.0
2000,2,7,21.94,17.2,19.57,22.64,9.45,27.55,18.1,12.21,76.81,2.16,101.11,2.39,3.28,1.28,1.99,195.31
2000,2,8,20.99,14.01,17.51,21.51,12.6,27.69,15.08,9.89,67.12,0.0,101.18,2.31,2.7,1.88,0.82,147.25
2000,2,9,21.24,15.2,18.23,22.05,12.07,27.28,15.21,10.8,70.31,0.06,101.18,2.12,2.75,1.27,1.48,150.62
2000,2,10,21.94,18.1,20.02,22.85,9.21,27.44,18.22,12.88,80.81,0.03,101.23,2.23,3.05,1.35,1.69,121.81
2000,2,11,21.85,15.99,18.92,22.79,13.62,29.38,15.76,11.29,73.81,0.08,101.18,2.61,4.01,1.98,2.02,143.81
