-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 12/31/2021 
Location: Latitude  23.266   Longitude 77.413 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 475.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
2000,1,1,15.97,0.33,8.15,15.88,19.85,26.9,7.06,4.09,39.88,0.0,96.04,2.71,3.8,0.74,3.05,77.31
2000,1,2,16.16,-0.66,7.76,15.71,19.64,26.88,7.23,3.85,37.25,0.0,96.08,2.41,3.62,1.04,2.58,116.06
2000,1,3,15.38,-0.52,7.43,15.3,20.02,26.58,6.55,3.85,39.12,0.0,95.97,2.88,3.35,0.99,2.36,120.88
2000,1,4,15.83,-0.93,7.45,15.52,18.95,26.73,7.77,3.72,36.62,0.0,95.97,2.71,3.59,1.27,2.32,76.44
2000,1,5,15.43,-1.19,7.12,15.51,18.79,26.02,7.23,3.66,36.31,0.0,96.06,3.0,3.58,2.02,1.56,66.62
2000,1,6,15.96,-2.34,6.81,15.49,18.95,26.82,7.87,3.36,32.75,0.0,96.07,2.77,3.44,1.71,1.72,81.81
2000,1,7,17.33,-3.55,6.89,16.05,18.77,28.05,9.29,3.11,27.88,0.0,96.05,2.24,3.06,0.46,2.6,98.94
2000,1,8,18.6,-3.33,7.63,17.12,20.85,29.4,8.55,3.11,26.5,0.0,95.92,2.17,3.08,0.47,2.61,186.25
2000,1,9,20.21,-2.85,8.68,18.01,19.25,31.05,11.8,3.23,23.88,0.0,95.82,2.77,4.77,1.76,3.02,235.12
2000,1,10,20.87,-1.85,9.51,18.58,18.66,31.08,12.41,3.48,23.44,0.0,95.75,2.39,4.56,0.7,3.86,245.94
2000,1,11,20.96,0.51,10.73,19.3,19.4,31.27,11.87,4.15,28.25,0.0,95.74,2.54,3.48,1.4,2.09,168.38
